%--basic--%
name Rhonwen-Callis
level 7
height 5.5
weight 120
age 70
alignment True-Neutral
background Sage
speed 30
%--basic--%

%--attributes--%
strength 8
dexterity 15
constitution 10
intelligence 17
wisdom 12
charisma 15
%--attributes--%

%--proficient_skills--%
acrobatics False
animal-handling False
arcana True
athletics False 
deception False
history True
insight True
intimidation False
investigation False
medicine False
nature False
perception True 
performance False
persuasion False
religion True
sleight-of-hand False
stealth False
survival False
%--proficient_skills--%

%--vitality--%
health 30
temp-health 0
hit-dice 7
max-health 30
%--vitality--%

